filename,class_id,label,description
images_1.jpg,354,Water tower,A white water tower with the name View Farm on it
images_2.jpg,354,House,A wooden building with a tall tower and a brown roof
images_3.jpg,354,Skyscraper,A tall building with a spiral staircase and a large dome on top
images_4.jpg,354,Water tower,A tall white water tower with the name Wakita on it
images_5.jpg,354,Water tower,A tall water tower with graffiti on it
images_6.jpg,354,Water tower,A wooden structure with a brown wooden tank on top
images_7.jpg,354,Water tower,A large water tower with a blue top and a red roof is next to a brick building
images_8.jpg,354,Water tower,A tall white and red water tower with the name Florence Yall on it
images_9.jpg,354,Water tower,A tall water tower with a silver top and a brick wall
images_10.jpg,354,Water tower,A white water tower with a silver top and a blue sky in the background
images_11.jpg,354,Water tower,A large green and white tower with a water tower on top
images_12.jpg,354,Water tower,A large water tower with two smaller towers behind it
images_13.jpg,354,Water tower,A water tower with graffiti on it
images_14.jpg,354,Building,A green building with a clock on the side
images_15.jpg,354,Water tower,A blue and white cooler sits on a rocky hillside near a water tower
images_16.jpg,354,Water tower,A black and white photo of a water tower with a checkered pattern on the top
images_17.jpg,354,City,A black and white photo of a city skyline with a large building in the foreground
images_18.jpg,354,Water tower,A tall water tower with a rusty top is located in the middle of a city
images_19.jpg,354,Tower,A large concrete tower with a metal staircase and a blue sky in the background
images_20.jpg,354,Water tower,A white water tower with the name Scrubine on it
images_21.jpg,325,Swimming pool,A pool with a blue color and a stone wall
images_22.jpg,325,Swimming pool,A swimming pool with a blue color and a person swimming in it
images_23.jpg,325,Swimming pool,A swimming pool with a blue color and a wooden deck
images_24.jpg,325,Swimming,"A group of women in a swimming pool, wearing black and yellow swim caps"
images_25.jpg,325,Bathtub,A large white bathtub with a blue water surface and a green plant in it
images_26.jpg,325,Swimming pool,A swimming pool with a blue color and a black liner
images_27.jpg,325,Swimming pool,A man and two children are on a blue inflatable raft in a pool
images_28.jpg,325,Swimming pool,A large swimming pool with a blue tiled bottom and a large palm tree in the corner
images_29.jpg,325,Swimming pool,A pool with a blue color and a green tint
images_30.jpg,325,Swimming pool,A large swimming pool with a wooden bridge over it
images_31.jpg,325,Swimming pool,A large swimming pool with a blue color and a blue circular pool in the middle
images_32.jpg,325,Swimming pool,A large indoor pool with a water slide and a blue tiled floor
images_33.jpg,325,Swimming pool,A woman in a black shirt is sitting on a chair next to a pool
images_34.jpg,325,Swimming pool,A picture of a woman in a hot tub with a picture of a woman in a hot tub
images_35.jpg,325,Child,A young boy wearing a blue swim cap is swimming in a pool
images_36.jpg,325,Swimming pool,A pool with a wooden deck and a staircase leading to it
images_37.jpg,325,Swimming pool,"A large bathroom with a jacuzzi, a large television, and a large window"
images_38.jpg,325,Swimming pool,A large swimming pool with a glass wall and a black tile floor
images_39.jpg,325,Swimming pool,A group of people swimming in a pool with a slide
images_40.jpg,325,Swimming pool,A blue swimming pool with a blue tiled floor and a blue tiled wall
images_41.jpg,72,Meat,A deli counter with a variety of meats and cheeses
images_42.jpg,72,Door,A store front with a red door and a sign that says Arne
images_43.jpg,72,Fish,A group of fish with red and orange colors are hanging on a wooden structure
images_44.jpg,72,Meat,A painting of a butcher shop with a variety of meats and a person in the foreground
